MARCA_COMERCIAL
"2,4-D (240) + Picloram (64) SL"
"2,4-D + Picloram CAC"
"2,4-D 240 + Picloram 64 Sino-Agri "
"2,4-D 806 RN"
"2,4-D 806 SL Alamos; 2,4-D 806 SL Crotect;"
"2,4-D 806 SL CX"
"2,4-D 806 SL Perterra "
"2,4-D 806 SL ZHC"
"2,4-D A Nortox"
"2,4-D AGCN"
"2,4-D Acid 866 SL"
"2,4-D Agritec"
"2,4-D Agroimport"
"2,4-D Amina CCAB 806 SL"
"2,4-D C 806 SL Perterra"
"2,4-D CHD'S"
"2,4-D CROP 806 SL "
"2,4-D Copalliance"
"2,4-D DMA 806 SL CAC"
"2,4-D Nortox"
"2,4-D Nortox 970 WG"
"2,4-D R 806 SL Perterra"
"2,4-D Super Amine SG"
"2,4-D Tecnomyl"
"2,4-D+Picloram 304 SL Yonon"
80 Fluroxipyr Meptilico 80 Picloram CCAB ME
ADA FH 0108/17
AUG 103
AUG 122
AUG 126
AUG 126 EC
AUG 126 EC BR
Abone
Accent
Acert; Agil; 
Acillatem
Aclamado BR
Acribia Duo
Actend
Addit
Adengo
Adifac
Advance
Afalon 450 SC
Afalon SC
Affinity 400 EC
Agile
Agritone
Alaclor + Atrazina SC Nortox
Alaclor Nortox
Alba
Albero; Impala; Patrono; Reinado;
Alia
Alidmox
Alion
Alion Pro
Allus; Arek;
Ally
Almane 
Amaiz
Ameforce
Ameris
Ametrex 500 SC
Ametrex WG
Ametrina 500 SC CCAB
Ametrina 500 SC Rainbow
Ametrina 800 WG CHDS
Ametrina 800 WG Rainbow
Ametrina Alta 500 SC
Ametrina CCAB 500 SC
Ametrina Nortox
Ametrina R 500 SC Perterra
Ametryn 500 Sino-Agri
Amicarbazone 700 WG Perterra
Amicarbazone Nortox
Aminoforce
Aminol 806
"Aminopyralid  + 2,4-D 360 SL Yonon; Amino BRA; "
"Aminopyralid + 2,4-D Yonon"
Amplexus
Amplo
Ancosar 720; Anzo 720; Mansar 720; Defensar 720;
Apice
Apresa; Adama Apresa; 42g/l Flumioxazin+840 g/l S-metolachlor Od;
Araddo
Arapoty; Glifosino 720 WG; Glifosino 720 WG Cropdefend; 
Arbust; Moicano; Bark; 
Arcalis
Arena
Argos
Arizona
Arkeiro Nortox
Arrange
Arrantool; GuzerÃ¡; Nelore
Arreio Cana; Tayta 160 ME;
Arreio; Arreio Pasto;
Arremate
Arrow
Artys
Atectra
